# Coinbase — every documented endpoint, enumerated 2026-08-31
#
# Method and path read from each page's own `pageMetadata.openapi` field.
# derivatives-api and Deribit publish specs instead; those are listed from the spec.
# page<TAB>METHOD path

advanced-trade-api/rest-api/accounts/get-account	GET /api/v3/brokerage/accounts/{account_uuid}
advanced-trade-api/rest-api/accounts/list-accounts	GET /api/v3/brokerage/accounts
advanced-trade-api/rest-api/convert/commit-convert-trade	POST /api/v3/brokerage/convert/trade/{trade_id}
advanced-trade-api/rest-api/convert/create-convert-quote	POST /api/v3/brokerage/convert/quote
advanced-trade-api/rest-api/convert/get-convert-trade	GET  /api/v3/brokerage/convert/trade/{trade_id}
advanced-trade-api/rest-api/data-api/get-api-key-permissions	GET /api/v3/brokerage/key_permissions
advanced-trade-api/rest-api/fees/get-transaction-summary	GET /api/v3/brokerage/transaction_summary
advanced-trade-api/rest-api/futures/cancel-pending-futures-sweep	DELETE /api/v3/brokerage/cfm/sweeps
advanced-trade-api/rest-api/futures/get-current-margin-window	GET /api/v3/brokerage/cfm/intraday/current_margin_window
advanced-trade-api/rest-api/futures/get-futures-balance-summary	GET /api/v3/brokerage/cfm/balance_summary
advanced-trade-api/rest-api/futures/get-futures-position	GET  /api/v3/brokerage/cfm/positions/{product_id}
advanced-trade-api/rest-api/futures/get-intraday-margin-setting	GET /api/v3/brokerage/cfm/intraday/margin_setting
advanced-trade-api/rest-api/futures/list-futures-positions	GET  /api/v3/brokerage/cfm/positions
advanced-trade-api/rest-api/futures/list-futures-sweeps	GET /api/v3/brokerage/cfm/sweeps
advanced-trade-api/rest-api/futures/schedule-futures-sweep	POST /api/v3/brokerage/cfm/sweeps/schedule
advanced-trade-api/rest-api/futures/set-intraday-margin-settings	POST /api/v3/brokerage/cfm/intraday/margin_setting
advanced-trade-api/rest-api/orders/cancel-order	POST  /api/v3/brokerage/orders/batch_cancel
advanced-trade-api/rest-api/orders/close-position	POST /api/v3/brokerage/orders/close_position
advanced-trade-api/rest-api/orders/create-order	POST /api/v3/brokerage/orders
advanced-trade-api/rest-api/orders/edit-order	POST /api/v3/brokerage/orders/edit
advanced-trade-api/rest-api/orders/edit-order-preview	POST /api/v3/brokerage/orders/edit_preview
advanced-trade-api/rest-api/orders/get-order	GET  /api/v3/brokerage/orders/historical/{order_id}
advanced-trade-api/rest-api/orders/list-fills	GET /api/v3/brokerage/orders/historical/fills
advanced-trade-api/rest-api/orders/list-orders	GET /api/v3/brokerage/orders/historical/batch
advanced-trade-api/rest-api/orders/preview-orders	POST /api/v3/brokerage/orders/preview
advanced-trade-api/rest-api/payment-methods/get-payment-method	GET /api/v3/brokerage/payment_methods/{payment_method_id}
advanced-trade-api/rest-api/payment-methods/list-payment-methods	GET /api/v3/brokerage/payment_methods
advanced-trade-api/rest-api/perpetuals/allocate-portfolio	POST  /api/v3/brokerage/intx/allocate
advanced-trade-api/rest-api/perpetuals/get-perpetuals-portfolio-summary	GET  /api/v3/brokerage/intx/portfolio/{portfolio_uuid}
advanced-trade-api/rest-api/perpetuals/get-perpetuals-position	GET /api/v3/brokerage/intx/positions/{portfolio_uuid}/{symbol}
advanced-trade-api/rest-api/perpetuals/get-portfolio-balances	GET  /api/v3/brokerage/intx/balances/{portfolio_uuid}
advanced-trade-api/rest-api/perpetuals/list-perpetuals-positions	GET /api/v3/brokerage/intx/positions/{portfolio_uuid}
advanced-trade-api/rest-api/perpetuals/opt-in-or-out	POST /api/v3/brokerage/intx/multi_asset_collateral
advanced-trade-api/rest-api/portfolios/create-portfolio	POST /api/v3/brokerage/portfolios
advanced-trade-api/rest-api/portfolios/delete-portfolio	DELETE /api/v3/brokerage/portfolios/{portfolio_uuid}
advanced-trade-api/rest-api/portfolios/edit-portfolio	PUT  /api/v3/brokerage/portfolios/{portfolio_uuid}
advanced-trade-api/rest-api/portfolios/get-portfolio-breakdown	GET  /api/v3/brokerage/portfolios/{portfolio_uuid}
advanced-trade-api/rest-api/portfolios/list-portfolios	GET /api/v3/brokerage/portfolios
advanced-trade-api/rest-api/portfolios/move-portfolios-funds	POST /api/v3/brokerage/portfolios/move_funds
advanced-trade-api/rest-api/products/get-best-bid-ask	GET /api/v3/brokerage/best_bid_ask
advanced-trade-api/rest-api/products/get-market-trades	GET  /api/v3/brokerage/products/{product_id}/ticker
advanced-trade-api/rest-api/products/get-product	GET /api/v3/brokerage/products/{product_id}
advanced-trade-api/rest-api/products/get-product-book	GET /api/v3/brokerage/product_book
